date,sector,age_group,ai_q,employment,percap,emp_index
2025-05-16,1,4,1,41037.0,0.05502848844303854,0.9534850274733625
2025-06-16,1,4,1,40189.0,0.053891364428132554,0.9337819472458261
2025-07-16,1,4,1,41369.0,0.055404811777121823,0.9600056257069247
2025-08-16,1,4,1,40719.0,0.0545342776173614,0.9449217789446268
2025-09-16,1,4,1,40959.0,0.0548557056148114,0.9504911992876292
2025-10-16,1,4,1,40866.0,0.05466343317821328,0.9471596723880324
2025-11-16,1,4,1,40898.0,0.05470623721730942,0.9479013429581008
2025-12-16,1,4,1,40974.0,0.05480789681016275,0.9496628105620134
2026-01-16,1,4,1,40320.0,0.053866871873797614,0.9333575619046384
2026-02-16,1,4,1,40086.0,0.053554251635244327,0.9279407546257276
2026-03-16,1,4,1,40396.0,0.05396840665213116,0.9351168668328316
2026-04-16,1,4,1,40294.0,0.05376698482424385,0.931626807364895
2021-01-16,1,4,2,38142.0,0.05422696505572403,0.9856611644354918
2021-02-16,1,4,2,38614.0,0.05489801344087168,0.9978585339917172
2021-03-16,1,4,2,38723.0,0.055052980123035014,1.0006752994188963
2021-04-16,1,4,2,38773.0,0.054922997597570376,0.9983126606971076
2021-05-16,1,4,2,38853.0,0.055036319749784686,1.0003724706900348
2021-06-16,1,4,2,36533.0,0.051749977335569554,0.9406379808951442
2021-07-16,1,4,2,39272.0,0.055423210233366826,1.0074048193410188
2021-08-16,1,4,2,38540.0,0.05439016404547661,0.9886275651202604
2021-09-16,1,4,2,39153.0,0.055255269664570464,1.0043522329308134
2021-10-16,1,4,2,39362.0,0.05534472698129258,1.0059782616579789
2021-11-16,1,4,2,39541.0,0.05559640896212819,1.0105529811548737
2021-12-16,1,4,2,40146.0,0.056447065936460844,1.0260150219125352
2022-01-16,1,4,2,38673.0,0.054155370586126544,0.9843598213085422
2022-02-16,1,4,2,38928.0,0.05451245742964689,0.990850441494038
2022-03-16,1,4,2,39073.0,0.0547155068112565,0.9945411863053983
2022-04-16,1,4,2,39240.0,0.0547073560760159,0.9943930337547255
2022-05-16,1,4,2,39254.0,0.054726874500711724,0.9947478121051986
2022-06-16,1,4,2,36852.0,0.051378070492184964,0.9338779836883064
2022-07-16,1,4,2,39447.0,0.05474978348248984,0.9951642192124791
2022-08-16,1,4,2,38711.0,0.05372826497301859,0.9765964988448874
2022-09-16,1,4,2,39926.0,0.05541460327330062,1.007248374179974
2022-10-16,1,4,2,39816.0,0.055015827966379216,1.0
2022-11-16,1,4,2,39690.0,0.05484172724496662,0.9968354430379747
2022-12-16,1,4,2,40164.0,0.05549667757789971,1.0087402049427365
2023-01-16,1,4,2,39084.0,0.05377434422789843,0.977434062444003
2023-02-16,1,4,2,39510.0,0.05436046311647393,0.9880877035913049
2023-03-16,1,4,2,39535.0,0.05439485976486451,0.9887129172736583
2023-04-16,1,4,2,39613.0,0.05428044462471087,0.9866332404900323
2023-05-16,1,4,2,39624.0,0.05429551757780384,0.9869072153378194
2023-06-16,1,4,2,37346.0,0.05117404601909606,0.9301695150415457
2023-07-16,1,4,2,40021.0,0.054612394056376815,0.9926669483144206
2023-08-16,1,4,2,38767.0,0.052901193882800526,0.9615631689689199
2023-09-16,1,4,2,39398.0,0.05376225234334808,0.9772142732488329
2023-10-16,1,4,2,39667.0,0.05390600050281645,0.9798271242188522
2023-11-16,1,4,2,40012.0,0.05437484286985887,0.9883490784340816
2023-12-16,1,4,2,40707.0,0.05531932242085737,1.0055164934473697
2024-01-16,1,4,2,39290.0,0.05322218399243592,0.9673976737196537
2024-02-16,1,4,2,39810.0,0.05392657533058982,0.98020110437209
2024-03-16,1,4,2,39931.0,0.05409048177658332,0.9831803641969837
2024-04-16,1,4,2,39979.0,0.054028669155993775,0.982056821702498
2024-05-16,1,4,2,40233.0,0.054371931417821796,0.9882961581719553
2024-06-16,1,4,2,37690.0,0.050935254520858585,0.9258291005269553
2024-07-16,1,4,2,40478.0,0.05457227138643068,0.9919376551013719
2024-08-16,1,4,2,38963.0,0.052529754682284165,0.9548116719135025
2024-09-16,1,4,2,39682.0,0.05349910749435106,0.9724311979280754
2024-10-16,1,4,2,40029.0,0.05383831156254707,0.9785967702866939
2024-11-16,1,4,2,40115.0,0.05395398007273666,0.9806992290601996
2024-12-16,1,4,2,40874.0,0.054974821924293614,0.9992546500961385
2025-01-16,1,4,2,39441.0,0.05295273846252991,0.9625000735222946
2025-02-16,1,4,2,39997.0,0.05369921351603176,0.9760684425007281
